"County, State",State,County Name,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"Washington, New York",New York,Washington,24,78,237
"Crittenden, Arkansas",Arkansas,Crittenden,24,58,191
"Santa Fe, New Mexico",New Mexico,Santa Fe,24,184,602
"Carroll, Mississippi",Mississippi,Carroll,24,9,28
"Nuckolls, Nebraska",Nebraska,Nuckolls,24,5,22
"Nevada, Arkansas",Arkansas,Nevada,24,10,25
"Jefferson, Louisiana",Louisiana,Jefferson,24,513,"1,534"
"Saguache, Colorado",Colorado,Saguache,24,8,25
"Jefferson, Kansas",Kansas,Jefferson,24,22,77
"Contra Costa, California",California,Contra Costa,24,"1,374","4,647"
"East Feliciana, Louisiana",Louisiana,East Feliciana,24,25,62
"Washington, Colorado",Colorado,Washington,23,5,16
"Moore, North Carolina",North Carolina,Moore,23,113,343
"Lincoln, Georgia",Georgia,Lincoln,23,9,25
"Tallapoosa, Alabama",Alabama,Tallapoosa,23,42,125
"Howard, Iowa",Iowa,Howard,23,13,33
"Henderson, North Carolina",North Carolina,Henderson,23,141,479
"Ford, Illinois",Illinois,Ford,23,16,63
"Bland, Virginia",Virginia,Bland,23,7,24
"Queens, New York",New York,Queens,23,"2,760","9,262"
"Atkinson, Georgia",Georgia,Atkinson,23,11,34
"Midland, Texas",Texas,Midland,23,167,538
"Iron, Wisconsin",Wisconsin,Iron,23,7,26
"Jackson, Kansas",Kansas,Jackson,23,15,49
"Morris, New Jersey",New Jersey,Morris,23,581,"2,101"
"Barry, Michigan",Michigan,Barry,23,61,248
"Knott, Kentucky",Kentucky,Knott,23,18,66
"Falls Church, Virginia",Virginia,Falls Church,23,21,110
"Burt, Nebraska",Nebraska,Burt,23,8,24
"Newton, Texas",Texas,Newton,23,11,24
"Rio Arriba, New Mexico",New Mexico,Rio Arriba,23,52,154
"Fayette, Texas",Texas,Fayette,23,28,80
"Tillman, Oklahoma",Oklahoma,Tillman,23,8,22
"Essex, Massachusetts",Massachusetts,Essex,23,938,"3,294"
"Brown, Minnesota",Minnesota,Brown,23,32,128
"Buena Vista, Iowa",Iowa,Buena Vista,23,24,139
"Ellis, Oklahoma",Oklahoma,Ellis,23,6,11
"Blanco, Texas",Texas,Blanco,23,13,38
"Santa Clara, California",California,Santa Clara,23,"2,254","8,589"
"Platte, Nebraska",Nebraska,Platte,23,42,167
"Alexander, Illinois",Illinois,Alexander,23,6,14
"Knox, Missouri",Missouri,Knox,23,5,14
"Calaveras, California",California,Calaveras,23,50,158
"McLean, Kentucky",Kentucky,McLean,23,11,29
"Montmorency, Michigan",Michigan,Montmorency,23,8,22
"Bronx, New York",New York,Bronx,23,"1,680","5,334"
"Custer, South Dakota",South Dakota,Custer,23,10,29
"Appling, Georgia",Georgia,Appling,23,21,57
"Mercer, New Jersey",New Jersey,Mercer,23,457,"1,716"
"Lee, South Carolina",South Carolina,Lee,23,19,47
"Mitchell, Iowa",Iowa,Mitchell,23,11,34
"Nicollet, Minnesota",Minnesota,Nicollet,23,39,154
"Androscoggin, Maine",Maine,Androscoggin,23,129,449
"Claiborne, Louisiana",Louisiana,Claiborne,23,15,43
"Newberry, South Carolina",South Carolina,Newberry,23,47,145
"Robertson, Texas",Texas,Robertson,23,18,53
"Rio Grande, Colorado",Colorado,Rio Grande,23,13,60
"Thayer, Nebraska",Nebraska,Thayer,23,6,16
"Manistee, Michigan",Michigan,Manistee,23,29,93
"Warren, New York",New York,Warren,23,76,274
"Greene, North Carolina",North Carolina,Greene,23,19,65
"Oceana, Michigan",Michigan,Oceana,23,32,87
"McKenzie, North Dakota",North Dakota,McKenzie,23,14,35
"Chicot, Arkansas",Arkansas,Chicot,23,9,17
"Jackson, Louisiana",Louisiana,Jackson,23,18,47
"Mason, West Virginia",West Virginia,Mason,23,28,85
"Dimmit, Texas",Texas,Dimmit,23,10,35
"New Kent, Virginia",Virginia,New Kent,23,30,102
"Millard, Utah",Utah,Millard,23,15,41
"Juneau, Wisconsin",Wisconsin,Juneau,23,32,91
"Gaines, Texas",Texas,Gaines,23,32,78
"Elbert, Georgia",Georgia,Elbert,23,24,68
"Yancey, North Carolina",North Carolina,Yancey,23,21,59
"Dawson, Texas",Texas,Dawson,23,15,40
"Chester, Pennsylvania",Pennsylvania,Chester,23,654,"2,526"
"East Baton Rouge, Louisiana",Louisiana,East Baton Rouge,23,520,"1,703"
"Gilpin, Colorado",Colorado,Gilpin,23,6,19
"Davie, North Carolina",North Carolina,Davie,23,49,189
"Martin, Florida",Florida,Martin,23,173,524
"Charlotte, Florida",Florida,Charlotte,23,217,575
"Meigs, Ohio",Ohio,Meigs,23,30,87
"Beauregard, Louisiana",Louisiana,Beauregard,23,44,112
"Colquitt, Georgia",Georgia,Colquitt,23,51,160
"Lower Connecticut River Valley, Connecticut",Connecticut,Lower Connecticut River Valley,23,200,795
"Broward, Florida",Florida,Broward,23,"2,220","7,521"
"Jackson, Kentucky",Kentucky,Jackson,23,15,45
"Orleans, Louisiana",Louisiana,Orleans,23,435,"1,538"
"Scotland, North Carolina",North Carolina,Scotland,23,39,109
"Presque Isle, Michigan",Michigan,Presque Isle,23,17,43
"Wilkinson, Georgia",Georgia,Wilkinson,23,14,41
"Cape May, New Jersey",New Jersey,Cape May,23,110,348
"Delaware, New York",New York,Delaware,23,44,154
